"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"5023",-1.14634711538462,-0.853686390532544,-5.0183058573824,0.000190241997591775,0.00334831960106434,0.35115693274482
"18698",-1.03773173076923,0.193704142011834,-5.01829164366995,0.000190246993269082,0.00334831960106434,0.351130028478262
"7603",-1.00747115384615,-0.222786982248521,-5.01814244186944,0.000190299441269542,0.00334831960106434,0.350847612125198
"16436",-1.46465769230769,-1.78419526627219,-5.017082498373,0.000190672468854638,0.00335301383434221,0.348841226740404
"4066",-1.31294423076923,1.91462721893491,-5.01373785645978,0.000191854535699125,0.00336743605917629,0.342509254201723
"7436",-1.11388269230769,1.15476627218935,-5.01329504236787,0.000192011604478002,0.00336854733266119,0.341670836470329
"38535",-1.239425,-2.47130769230769,-5.01280221798985,0.000192186569069591,0.00336997132264585,0.340737703668995
"7738",-1.14284615384615,-1.81374852071006,-5.01052884436642,0.00019299581568229,0.00338009953873461,0.336432850950752
"2028",-1.02469134615385,-2.16694378698225,-5.0103478792848,0.000193060385042632,0.00338009953873461,0.336090150737373
"19241",-1.06792307692308,-3.9838550295858,-5.01012348500422,0.000193140481310978,0.00338009953873461,0.335665201869388
"28288",-1.73957019230769,-3.61777218934911,-5.00310447933557,0.000195663358145496,0.00341543142350489,0.322369994298418
"7761",-1.31907211538461,2.68708284023669,-5.00163982365213,0.000196194104059034,0.00341881601427586,0.319594976554211
"30986",-1.36413557692308,-3.31600887573965,-4.99507761986651,0.000198590441826429,0.00345026885124844,0.307158869594808
"7443",-1.54400673076923,-2.72683431952663,-4.99318453404609,0.000199287372592914,0.00346070372638513,0.303570352950029
"12315",-1.21674903846154,-5.65198520710059,-4.98327448032154,0.000202977337067709,0.00351289631190063,0.284778321870871
"23232",-1.18008076923077,1.89694970414201,-4.97822171554601,0.000204885916035374,0.00354251495535849,0.275192699342544
"22178",-1.10201057692308,-2.16073964497041,-4.97721247040081,0.000205269362549763,0.00354511790557834,0.273277711009645
"13821",-1.90067596153846,-2.20370710059172,-4.97693578182362,0.000205374615861866,0.00354511790557834,0.272752689288754
"23722",-1.19196634615385,-3.86994378698225,-4.9765280736421,0.000205529811498224,0.00354511790557834,0.271979039718947
"5198",-1.31260288461538,2.00626331360947,-4.96915020857012,0.000208359333466396,0.00358531728549527,0.257975887942989
"320",-1.19592019230769,1.9101124260355,-4.96876678791222,0.000208507480601575,0.0035861490045639,0.257247990188732
"2220",-1.35298942307692,-1.99345266272189,-4.96742018499528,0.000209028650741376,0.00359167402797078,0.254691426389878
"24888",-1.53236057692307,3.87837573964497,-4.96375043574113,0.000210455805876476,0.00361101559185097,0.247723270941915
"39959",-1.05996057692308,-1.95439349112426,-4.95729900726468,0.000212989291706788,0.00363933470792479,0.235469579300298
"11497",-1.3922125,-1.28265384615385,-4.95722655876482,0.000213017921199194,0.00363933470792479,0.235331945888704
"211",-1.37071057692308,-4.21700887573965,-4.95654372931697,0.000213287951175735,0.00364221615864685,0.234034717730145
"2458",-1.30297115384615,-1.79040236686391,-4.95549678004825,0.000213702664426416,0.00364756438488205,0.232045639561146
"14988",-1.14691826923077,1.95837278106509,-4.95363135634551,0.000214443661423524,0.00365847403194957,0.228501254705082
"3207",-1.09749423076923,1.43885798816568,-4.950399626013,0.000215733703591118,0.00367873575525642,0.222359909832593
"38947",-1.50611538461539,-2.45973668639053,-4.94587213298067,0.000217554533162335,0.00370100228313899,0.213754234683536
"16560",-1.12206538461538,-3.68958284023669,-4.9442180835463,0.000218223711832391,0.00370887405034341,0.210609715662266
"12390",-1.19773365384615,-2.59724852071006,-4.94343673277845,0.000218540564521868,0.00371250304619679,0.209124181267817
"7365",-1.1085125,-2.13657692307692,-4.93947045090142,0.000220156338035541,0.00373465395150093,0.201582286385297
"7669",-1.44436153846154,2.01347633136095,-4.93696786399637,0.000221182202134033,0.00375028567271055,0.196822712857266
"10105",-1.42623173076923,-1.88868047337278,-4.93663101630353,0.000221320661085013,0.00375086322269973,0.196182022197921
"6825",-1.28109711538462,-5.06218639053254,-4.92668032952805,0.0002254516072251,0.00381188272752499,0.177249963577975
"1546",-1.01756730769231,1.71727218934911,-4.92292857408461,0.000227029790022904,0.00383495689973339,0.170109078881275
"20939",-1.29598557692308,-2.99020118343195,-4.92159686994516,0.000227592723149075,0.00383905115024559,0.167574013454972
"19064",-1.04016826923077,-2.78270414201183,-4.91704842669882,0.000229526355933886,0.00385898570067786,0.158914010657616
"14233",-1.02292788461538,-1.63842899408284,-4.90836848593469,0.00023326375369895,0.00391084153366755,0.142381541645872
"9144",-1.29162692307692,-2.39072189349112,-4.90795117504695,0.000233445019740834,0.00391205509061027,0.141586491779159
"6135",-1.43260961538462,-2.23884023668639,-4.90057122173353,0.000236674851330736,0.00394860023066217,0.127523249340195
"41175",-1.87362980769231,-3.09645857988166,-4.89919769480294,0.000237281066628639,0.0039560424329004,0.124905199119782
"40073",-1.15122211538462,-2.21714792899408,-4.8985700524572,0.00023755861604377,0.00395883279955316,0.12370879500101
"37942",-1.19689134615385,-1.73148224852071,-4.89814888597691,0.000237745048414738,0.00395901796611286,0.122905948552886
