"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"5326",-6.04284970238095,-0.27781887755102,-13.1841344711413,1.26046277130296e-09,1.51396533476535e-07,12.4828654503025
"17903",-7.11902976190476,-2.5307193877551,-13.1646462452254,1.28647923853651e-09,1.53999388037379e-07,12.4622130186138
"12494",-6.46211458333333,0.0185892857142859,-13.1166761441997,1.3529779715533e-09,1.61414371939556e-07,12.4112559742784
"21487",-5.88773511904762,-0.897301020408163,-13.0788433044349,1.40799554058365e-09,1.67361467013573e-07,12.3709452967795
"41291",-4.62773660714286,-0.294974489795918,-13.0759677522039,1.41227326608129e-09,1.67361467013573e-07,12.3678769945339
"7090",-5.0628869047619,0.456772959183673,-13.0639053226934,1.43036846319642e-09,1.6894081918813e-07,12.354999200056
"21497",-6.68265773809524,-2.76738775510204,-13.0382196579772,1.46972542056056e-09,1.7301256088612e-07,12.3275405874719
"34159",-5.66219196428571,-0.38293112244898,-13.0089352500728,1.51600340454294e-09,1.77869366335e-07,12.2961737241664
"19754",-8.24296577380952,-2.19652806122449,-12.9939464980167,1.54028626379081e-09,1.8012199070924e-07,12.2800938470429
"35011",-6.99143452380952,-0.685456632653061,-12.9863808457983,1.55269965524008e-09,1.80976338434611e-07,12.2719709375588
"8060",-6.65920684523809,-0.751576530612245,-12.9731947131096,1.57458941538697e-09,1.82925989361989e-07,12.2578031175536
"13417",-6.5458244047619,-1.22347704081633,-12.9522912847255,1.60996425137381e-09,1.86424389931137e-07,12.2353162147044
"21539",-5.15473065476191,-0.797566326530612,-12.9383082910492,1.63409788820621e-09,1.88516610583741e-07,12.2202552978652
"32312",-6.78756845238095,-1.45769387755102,-12.9348231822311,1.64017252038476e-09,1.88516610583741e-07,12.2164991933604
"39526",-7.09159672619048,-0.930686224489796,-12.9326378633003,1.64399381001823e-09,1.88516610583741e-07,12.214143472382
"2630",-5.39057738095238,0.684301020408163,-12.9240778711007,1.65905322290459e-09,1.89115183470823e-07,12.2049124753207
"1701",-7.08262797619048,-1.39872193877551,-12.9236056182831,1.65988829789817e-09,1.89115183470823e-07,12.2044030394377
"13457",-6.57446577380952,-1.16320663265306,-12.9180579168849,1.66973165902437e-09,1.89626929084009e-07,12.1984172531641
"29587",-5.43341666666667,-0.630803571428571,-12.9137393113951,1.67743710261127e-09,1.89893382929154e-07,12.1937559822007
"12520",-7.02317113095238,-0.897966836734694,-12.8948681422565,1.71155339124517e-09,1.93138443668759e-07,12.1733706088925
