,log2FoldChange,AveExpr,t,P.Value,padj,B
8533,0.255184325,0.353934232,1.781416278,0.083475399,0.163596277,-6.07903229
42102,-0.398678968,-0.138750817,-1.781245161,0.083503823,0.163644457,-6.07931913
35421,-0.265506151,0.490310049,-1.780996866,0.083545081,0.163717784,-6.079735301
34184,0.573825794,2.049953431,1.780901275,0.083560969,0.163741391,-6.079895508
31125,-0.572645337,2.270138889,-1.78086181,0.083567529,0.163746718,-6.079961648
23573,-0.209000298,-0.539566585,-1.780756518,0.083585034,0.16377349,-6.080138104
22815,-0.199620635,0.140260212,-1.780721046,0.083590932,0.163777517,-6.080197548
20413,-0.432050893,-0.353237337,-1.780683725,0.083597138,0.163782148,-6.080260091
20735,0.225145139,-0.356035539,1.780644701,0.083603627,0.163787333,-6.080325484
41022,-0.296927282,-0.131777369,-1.78048087,0.083630876,0.163833185,-6.080600013
24652,-0.257662599,-0.520806781,-1.780369239,0.083649446,0.163862034,-6.080787057
2175,-0.472154663,-0.89527982,-1.780221554,0.08367402,0.16390264,-6.081034499
15785,-0.356674603,1.075043709,-1.780139336,0.083687704,0.16392191,-6.081172244
20345,0.307661905,-0.044055964,1.779892575,0.083728782,0.163994836,-6.081585629
14178,-0.241345437,-0.347540033,-1.779868738,0.083732752,0.163995074,-6.081625559
12501,0.558603373,2.03552982,1.779820394,0.083740802,0.164003305,-6.08170654
4116,-0.335026587,0.190599265,-1.779474827,0.083798365,0.1641085,-6.08228535
5305,0.960897123,2.132122549,1.779257242,0.083834626,0.164171971,-6.082649747
35473,-0.682877877,2.175680964,-1.779229924,0.08383918,0.164173346,-6.082695495
23445,-0.502573115,0.514315768,-1.779119179,0.083857642,0.164201954,-6.082880947
4981,0.255300694,0.011628676,1.7788807,0.08389741,0.164272278,-6.083280267
20073,-0.38072877,-2.683855392,-1.778633625,0.083938629,0.164345434,-6.083693934
34783,-0.511101389,0.459585376,-1.778542609,0.083953816,0.164367621,-6.083846305
33860,-0.266857837,-0.274416667,-1.77849063,0.083962491,0.164377055,-6.083933323
20098,-0.264032044,-0.446754493,-1.77841727,0.083974736,0.164393476,-6.084056128
39755,0.203394544,-0.004236111,1.778375211,0.083981757,0.164399669,-6.084126534
31141,-0.290925099,0.360120507,-1.778272346,0.08399893,0.164425735,-6.084298721
7438,-0.246045833,-0.377329657,-1.778205996,0.084010008,0.164439869,-6.084409781
15041,0.248883036,0.213145833,1.777990636,0.084045975,0.164502716,-6.084770237
24362,-0.346922321,0.798435049,-1.777624632,0.084107131,0.164614857,-6.085382749
