,log2FoldChange,AveExpr,t,P.Value,padj,B
31163,-1.094960938,0.523716146,-4.937810028,0.000266806,0.001870449,-0.109039539
37194,0.735753906,-0.372260417,4.937339093,0.00026703,0.001871711,-0.109905425
13365,-1.472894531,-5.064492188,-4.93660593,0.000267379,0.001873453,-0.11125351
604,-1.984464844,-1.996164063,-4.936563765,0.000267399,0.001873453,-0.111331043
33529,-0.982484375,1.740169271,-4.93654017,0.00026741,0.001873453,-0.111374429
679,-1.1705,0.796466146,-4.936176523,0.000267583,0.001874359,-0.112043102
35060,2.08878125,-1.603388021,4.935880176,0.000267725,0.001875041,-0.112588035
31724,-1.667140625,2.164294271,-4.935743811,0.00026779,0.001875188,-0.112838791
37722,3.526371094,-1.428960938,4.934775432,0.000268252,0.001878118,-0.114619568
41789,-0.912839844,0.186927083,-4.933336734,0.000268941,0.00188247,-0.117265428
9512,-1.562046875,2.105458333,-4.933292497,0.000268962,0.00188247,-0.117346785
9367,-0.882964844,0.855135417,-4.931939784,0.000269611,0.001886704,-0.119834741
7006,-1.764023438,-1.654914063,-4.931042816,0.000270043,0.001889413,-0.121484591
3916,-1.123015625,-0.299776042,-4.930750438,0.000270184,0.001889806,-0.122022403
5971,-1.310589844,-2.894710938,-4.930741859,0.000270188,0.001889806,-0.122038183
10667,2.071,0.011794271,4.930432236,0.000270337,0.001890539,-0.122607724
36164,-1.524972656,-1.0495,-4.930196843,0.00027045,0.001891022,-0.123040731
8414,-1.01065625,0.879575521,-4.929452539,0.000270809,0.001893222,-0.124409921
22042,-0.627929688,0.086151042,-4.929175023,0.000270943,0.001893849,-0.124920445
25430,-1.283183594,1.851291667,-4.927886917,0.000271566,0.001897892,-0.127290185
2512,-1.801816406,-3.788632813,-4.926901294,0.000272044,0.001900367,-0.129103577
24768,-1.6970625,2.138476563,-4.92688098,0.000272054,0.001900367,-0.129140951
7749,-0.840992188,-0.833916667,-4.926879912,0.000272054,0.001900367,-0.129142917
5244,-0.926695313,-0.486382813,-4.926413512,0.000272281,0.001901563,-0.13000106
25223,0.886359375,0.232171875,4.926264135,0.000272353,0.001901563,-0.130275907
20142,-1.338898438,1.073497396,-4.926251437,0.000272359,0.001901563,-0.130299272
22300,-1.341453125,2.063052083,-4.925934558,0.000272513,0.001902326,-0.130882327
22251,-0.991453125,1.160421875,-4.925732562,0.000272611,0.0019027,-0.131254003
36454,1.06271875,-0.949885417,4.924959295,0.000272988,0.001905014,-0.132676877
27386,-1.337585938,-2.166174479,-4.924747399,0.000273091,0.001905422,-0.133066794
22602,-0.821390625,-0.272734375,-4.924084337,0.000273414,0.001907364,-0.134286953
20899,-0.886871094,-0.565213542,-4.923696722,0.000273603,0.001908371,-0.135000261
38675,-2.603972656,1.777723958,-4.922660088,0.000274109,0.001911328,-0.136908012
14056,-1.458882813,-0.746395833,-4.92258897,0.000274144,0.001911328,-0.137038898
15655,-1.286753906,-3.948242188,-4.92255215,0.000274162,0.001911328,-0.137106661
37933,-1.105957031,-0.579695313,-4.922461555,0.000274206,0.001911328,-0.137273394
40453,3.81484375,-0.923760417,4.922250254,0.00027431,0.001911736,-0.137662277
7105,2.257398438,1.756450521,4.921938311,0.000274462,0.001912487,-0.138236396
3932,-0.80121875,0.190653646,-4.920842522,0.000274999,0.001915916,-0.140253238
42261,1.717140625,-0.775455729,4.920502106,0.000275166,0.001916766,-0.140879816
22111,-1.136738281,1.118825521,-4.919866937,0.000275478,0.001918626,-0.142048958
20020,-0.746964844,-0.402445313,-4.91857451,0.000276114,0.001922381,-0.144428047
29316,-1.235429688,0.044424479,-4.918440717,0.00027618,0.001922381,-0.144674344
2885,-1.191863281,-0.826315104,-4.918417754,0.000276192,0.001922381,-0.144716615
19752,3.115058594,-0.689947917,4.918404663,0.000276198,0.001922381,-0.144740713
37307,0.81090625,-0.243690104,4.918098724,0.000276349,0.001923117,-0.145303918
